name,dim,percentage,k,type,normalised,2,4,6
musk,3062,3.1678641411,10,0,0,0,0,0
musk,3062,3.1678641411,10,0,1,0,0,0
musk,3062,3.1678641411,30,1,0,0,0,0
musk,3062,3.1678641411,30,1,1,0,0,1
musk,3062,3.1678641411,30,0,0,1,1,1
musk,3062,3.1678641411,30,0,1,1,0,0
musk,3062,3.1678641411,50,1,0,0,0,0
musk,3062,3.1678641411,50,1,1,0,0,0
musk,3062,3.1678641411,50,0,0,1,1,0
musk,3062,3.1678641411,50,0,1,0,0,0
musk,3062,3.1678641411,100,1,0,1,1,1
musk,3062,3.1678641411,100,1,1,0,0,1
musk,3062,3.1678641411,100,0,0,1,1,1
musk,3062,3.1678641411,100,0,1,1,1,1
musk,3062,3.1678641411,200,1,0,0,0,0
musk,3062,3.1678641411,200,1,1,0,0,0
musk,3062,3.1678641411,200,0,0,0,0,0
musk,3062,3.1678641411,200,0,1,0,0,0
musk,3062,3.1678641411,300,1,0,0,0,0
musk,3062,3.1678641411,300,1,1,0,0,0
musk,3062,3.1678641411,300,0,0,0,0,0
musk,3062,3.1678641411,300,0,1,0,0,0
optdigits,5216,2.8757668712,10,1,0,0,0,0
optdigits,5216,2.8757668712,10,1,1,0,0,0
optdigits,5216,2.8757668712,10,0,0,0,1,0
optdigits,5216,2.8757668712,10,0,1,1,0,0
optdigits,5216,2.8757668712,30,1,0,0,0,0
optdigits,5216,2.8757668712,30,1,1,0,0,0
optdigits,5216,2.8757668712,30,0,0,0,0,0
optdigits,5216,2.8757668712,30,0,1,0,0,0
optdigits,5216,2.8757668712,50,1,0,1,1,1
optdigits,5216,2.8757668712,50,1,1,1,1,0
optdigits,5216,2.8757668712,50,0,0,0,0,1
optdigits,5216,2.8757668712,50,0,1,1,1,1
optdigits,5216,2.8757668712,100,1,0,1,1,0
optdigits,5216,2.8757668712,100,1,1,0,0,0
optdigits,5216,2.8757668712,100,0,0,1,1,1
optdigits,5216,2.8757668712,100,0,1,1,1,0
optdigits,5216,2.8757668712,200,1,0,0,0,0
optdigits,5216,2.8757668712,200,1,1,1,1,0
optdigits,5216,2.8757668712,200,0,0,0,0,0
optdigits,5216,2.8757668712,200,0,1,1,0,0
optdigits,5216,2.8757668712,300,1,0,0,0,0
optdigits,5216,2.8757668712,300,1,1,0,0,0
optdigits,5216,2.8757668712,300,0,0,0,0,0
optdigits,5216,2.8757668712,300,0,1,1,0,0
pendigits,6870,2.2707423581,10,1,0,1,0,0
pendigits,6870,2.2707423581,10,1,1,1,1,1
pendigits,6870,2.2707423581,10,0,0,0,0,0
pendigits,6870,2.2707423581,10,0,1,1,0,1
pendigits,6870,2.2707423581,30,1,0,1,1,1
pendigits,6870,2.2707423581,30,1,1,1,1,0
pendigits,6870,2.2707423581,30,0,0,0,0,1
pendigits,6870,2.2707423581,30,0,1,0,1,1
pendigits,6870,2.2707423581,50,1,0,1,1,1
pendigits,6870,2.2707423581,50,1,1,1,1,1
pendigits,6870,2.2707423581,50,0,0,0,0,0
