,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
51,musk,3062,3.1678641411,10,0.6083100085,0.5451191739,0.5430468872,0.5575702787,0.6083100085,0.5789537734,0.5654526173,0.5382103927,0.6083100085,0.5648510979,0.5569687592,0.5629561378,0.6083100085,0.5789398654,0.5457589402,0.5779976009
52,musk,3062,3.1678641411,30,0.5897185376,0.4865179674,0.5269136489,0.4972688236,0.5897185376,0.5866796474,0.5813702822,0.5900488517,0.5897185376,0.6132681977,0.6192103753,0.6151249109,0.5897185376,0.5939917595,0.5783661619,0.5418751413
53,musk,3062,3.1678641411,50,0.626710245,0.5359260096,0.5417812625,0.5073799134,0.626710245,0.5766624363,0.579892561,0.5688357296,0.626710245,0.6426870187,0.6468976548,0.6260913406,0.626710245,0.6205664018,0.6085707828,0.5921454773
54,musk,3062,3.1678641411,100,0.6505797883,0.8891187566,0.8903600424,0.8992889553,0.6505797883,0.6163731507,0.6029067645,0.6654056779,0.6505797883,0.8361050747,0.8085951218,0.8337928756,0.6505797883,0.7314372142,0.7268058622,0.747389649
55,musk,3062,3.1678641411,200,1,0.9999756611,0.9998991673,0.9999061212,1,0.9999339372,0.9993498027,1,1,1,1,1,1,1,1,1
56,musk,3062,3.1678641411,300,1,0.999996523,0.9999443681,0.9999652301,1,0.9999721841,0.9996870708,1,1,1,1,1,1,1,1,1
57,optdigits,5216,2.8757668712,10,0.614788788,0.5455902092,0.5402171338,0.5180747467,0.614788788,0.5403210949,0.5304961179,0.4912725359,0.614788788,0.6118199763,0.6216883801,0.6045979734,0.614788788,0.62746414,0.6088445848,0.5912475326
58,optdigits,5216,2.8757668712,30,0.5581787077,0.5399170944,0.5447756284,0.5423516252,0.5581787077,0.5277404922,0.5193709699,0.5258665614,0.5581787077,0.5558902487,0.5508066851,0.5340939597,0.5581787077,0.5450822477,0.5361376497,0.5490893539
59,optdigits,5216,2.8757668712,50,0.5061442295,0.5909922358,0.5884129491,0.5796183708,0.5061442295,0.5557454928,0.5492064745,0.4807658902,0.5061442295,0.5025832346,0.5013106988,0.5123081984,0.5061442295,0.511585735,0.5199144624,0.5217804974
60,optdigits,5216,2.8757668712,100,0.6088301092,0.645000658,0.6273733386,0.5862205553,0.6088301092,0.504047901,0.498273457,0.5150585603,0.6088301092,0.6106224503,0.6100684301,0.6101973944,0.6088301092,0.6200855376,0.6210514541,0.60302803
61,optdigits,5216,2.8757668712,200,0.8141992367,0.7328201079,0.7493512304,0.7773680747,0.8141992367,0.8467114094,0.8346203448,0.8066456113,0.8141992367,0.8102763522,0.8124608501,0.8114646664,0.8141992367,0.8191025135,0.7995828398,0.7763784709
62,optdigits,5216,2.8757668712,300,0.9149032767,0.8080484274,0.8153217529,0.8359415713,0.9149032767,0.8959073562,0.885280958,0.8588669562,0.9149032767,0.910210554,0.9121437031,0.9083997894,0.9149032767,0.918132649,0.8976167917,0.8632517437
63,pendigits,6870,2.2707423581,10,0.5255846948,0.5417506855,0.4836888858,0.5031403339,0.5255846948,0.5302792481,0.5396005667,0.6100604101,0.5255846948,0.5184936948,0.4899549735,0.5117967454,0.5255846948,0.5524888675,0.4853492129,0.609418655
64,pendigits,6870,2.2707423581,30,0.5355266072,0.5378333066,0.5463602652,0.5472185941,0.5355266072,0.5687245557,0.5657877149,0.5212381514,0.5355266072,0.5319749013,0.5217160086,0.5402868676,0.5355266072,0.5173174309,0.5467918166,0.6408587173
65,pendigits,6870,2.2707423581,50,0.5511073303,0.5713845161,0.5721798309,0.5894036953,0.5511073303,0.5850757697,0.5717874247,0.586526527,0.5511073303,0.5500141304,0.5356898711,0.5505898505,0.5511073303,0.5394964979,0.5397657402,0.6488212537
66,pendigits,6870,2.2707423581,100,0.4849128877,0.6283674373,0.6552973885,0.6532532481,0.4849128877,0.6716094575,0.69229719,0.7114491915,0.4849128877,0.4847620357,0.4710058584,0.4540808338,0.4849128877,0.4652534314,0.5506795979,0.4809496803
